"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"30",56,"3","Mar",29,1982,24,53,"spectabs","RM","M",NA,NA,NA,NA,NA,"S",16,10,"2990"
"31",56,"3","Mar",30,1982,3,45,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,10,"2"
"32",56,"3","Mar",30,1982,17,64,"control","RM","M",NA,NA,NA,NA,NA,"S",16,10,"7014"
"33",57,"4","Apr",28,1982,19,15,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,9,"7012"
"34",57,"4","Apr",28,1982,12,41,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"5113"
"35",57,"4","Apr",28,1982,18,56,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"111"
"36",58,"5","May",21,1982,20,24,"control","RM","M",NA,NA,NA,NA,NA,"S",17,10,"111"
"37",60,"7","Jul",26,1982,15,11,"exclosure","RM","M",NA,NA,NA,NA,NA,"R",NA,9,"3996"
"38",64,"1","Jan",13,1983,3,12,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,12,"6011"
"39",65,"2","Feb",26,1983,11,44,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"8602"
"40",66,"3","Mar",14,1983,21,22,"exclosure","RM","M",NA,NA,NA,NA,NA,"R",16,10,"8612"
"41",66,"3","Mar",14,1983,19,31,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,8,"7511"
"42",66,"3","Mar",14,1983,12,42,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"8610"
"43",66,"3","Mar",14,1983,11,52,"control","RM","M",NA,NA,NA,NA,NA,"S",18,14,"6011"
"44",66,"3","Mar",14,1983,11,62,"control","RM","M",NA,NA,NA,NA,NA,"S",18,11,"8602"
"45",66,"3","Mar",14,1983,24,65,"spectabs","RM","M",NA,NA,NA,NA,NA,"S",15,8,"7512"
"46",66,"3","Mar",15,1983,15,41,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,11,"8602"
"47",67,"4","Apr",16,1983,19,61,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,9,"8710"
"48",67,"4","Apr",17,1983,6,76,"control","RM","M",NA,NA,NA,NA,NA,"S",17,11,"8610"
"49",68,"5","May",15,1983,15,65,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,11,"8713"
"50",69,"6","Jun",17,1983,12,35,"control","RM","M",NA,NA,NA,NA,NA,"S",15,11,"8501"
"51",73,"10","Oct",15,1983,19,44,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,8,"7600"
"52",74,"11","Nov",12,1983,21,37,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",15,8,"8501"
"53",79,"5","May",27,1984,21,76,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,9,"6512"
"54",87,"2","Feb",16,1985,21,11,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,5,"7614"
"55",90,"6","Jun",15,1985,19,21,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,10,"7141"
"56",99,"5","May",10,1986,21,21,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,10,"6798"
"57",105,"11","Nov",15,1986,21,24,"exclosure","RM","M",NA,NA,NA,NA,NA,"R",17,11,"6801"
"58",106,"12","Dec",14,1986,12,35,"control","RM","M",NA,NA,NA,NA,NA,"S",17,13,"5031"
"59",108,"3","Mar",1,1987,12,17,"control","RM","M",NA,NA,NA,NA,NA,"S",16,11,"6131T"
"60",108,"3","Mar",2,1987,15,15,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",16,10,"5101"
"61",108,"3","Mar",2,1987,3,34,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",17,11,"6956"
"62",109,"4","Apr",4,1987,21,74,"exclosure","RM","M",NA,NA,NA,NA,NA,"S",12,10,"8142"
